d0000001.s001.h001 bn:00058442n
d0005702.s001.h001 bn:00057623n
d0005703.s001.h001 bn:00059921n
d0005704.s001.h001 bn:00063215n
d0005705.s001.h001 bn:00063215n
d0005706.s001.h001 bn:00063215n
d0005707.s001.h001 bn:00020215n
d0005708.s001.h001 bn:00023888n
d0005709.s001.h001 bn:00030639n
d0005710.s001.h001 bn:00044684n
d0005711.s001.h001 bn:00010408n
d0005712.s001.h001 bn:00013775n
d0005713.s001.h001 bn:00013775n
d0005714.s001.h001 bn:00019864n
d0005715.s001.h001 bn:00024606n
d0005716.s001.h001 bn:00024606n
d0005717.s001.h001 bn:00034471n
d0005718.s001.h001 bn:00034471n
d0005719.s001.h001 bn:00033878n
d0005720.s001.h001 bn:00034483n
d0005721.s001.h001 bn:00024600n
d0005722.s001.h001 bn:00071316n
d0005723.s001.h001 bn:00013235n
d0005724.s001.h001 bn:00057547n
d0005725.s001.h001 bn:00067267n
d0005726.s001.h001 bn:00017941n
d0005726.s001.h002 bn:00017941n
d0005727.s001.h001 bn:00070597n
d0005728.s001.h001 bn:00070597n
d0005729.s001.h001 bn:00050802n
d0005730.s001.h001 bn:00010422n
d0005731.s001.h001 bn:00032166n
d0005732.s001.h001 bn:00015916n
d0005733.s001.h001 bn:00000938n
d0005734.s001.h001 bn:00000938n
d0005735.s001.h001 bn:00001382n
d0005736.s001.h001 bn:00080865n
d0005737.s001.h001 bn:00021392n
d0005738.s001.h001 bn:00021392n
d0005739.s001.h001 bn:00066506n
d0005740.s001.h001 bn:00080852n
d0005741.s001.h001 bn:00046774n
d0005742.s001.h001 bn:00043620n
d0005743.s001.h001 bn:00004960n
d0005744.s001.h001 bn:00021009n
d0005745.s001.h001 bn:00053802n
d0005746.s001.h001 bn:00066952n
d0005747.s001.h001 bn:00026628n
d0005748.s001.h001 bn:00028271n
d0005749.s001.h001 bn:00032655n
d0005750.s001.h001 bn:00012061n
d0005751.s001.h001 bn:00012061n
d0005752.s001.h001 bn:00037629n
d0005753.s001.h001 bn:00066999n
d0005754.s001.h001 bn:00014161n
d0005755.s001.h001 bn:00028458n
d0005756.s001.h001 bn:00047028n
d0005757.s001.h001 bn:00057548n
d0005758.s001.h001 bn:00047027n
d0005759.s001.h001 bn:00050146n
d0005760.s001.h001 bn:00032046n
d0005761.s001.h001 bn:00007361n
d0005762.s001.h001 bn:00035736n
d0005763.s001.h001 bn:00035742n
d0005765.s001.h001 bn:00067450n
d0005766.s001.h001 bn:00080196n
d0005767.s001.h001 bn:00053450n
d0005768.s001.h001 bn:00053450n
d0005769.s001.h001 bn:00070832n
d0005770.s001.h001 bn:00070832n
d0005771.s001.h001 bn:00035740n
d0005772.s001.h001 bn:00066574n
d0005773.s001.h001 bn:00076674n
d0005774.s001.h001 bn:00041064n
d0005775.s001.h001 bn:00076667n
d0005776.s001.h001 bn:00005600n
d0005777.s001.h001 bn:00016409n
d0005778.s001.h001 bn:00050106n
d0005779.s001.h001 bn:00066776n
d0005780.s001.h001 bn:00024830n
d0005781.s001.h001 bn:00021747n
d0005782.s001.h001 bn:00021747n
d0005783.s001.h001 bn:00068524n
d0005784.s001.h001 bn:00040987n
d0005785.s001.h001 bn:00063330n
d0005786.s001.h001 bn:00022291n
d0005787.s001.h001 bn:00015404n
d0005788.s001.h001 bn:00015404n
d0005789.s001.h001 bn:00015404n
d0005790.s001.h001 bn:00008785n
d0005791.s001.h001 bn:00064315n
d0005792.s001.h001 bn:00001772n
d0005793.s001.h001 bn:00034053n
d0005794.s001.h001 bn:00065760n
d0005795.s001.h001 bn:00060840n
d0005796.s001.h001 bn:00057911n
d0005797.s001.h001 bn:00082031n
d0005798.s001.h001 bn:00015320n
d0005799.s001.h001 bn:00015320n
d0005800.s001.h001 bn:00076261n
d0005802.s001.h001 bn:00046475n
d0005803.s001.h001 bn:00066798n
d0005804.s001.h001 bn:00001469n
d0005805.s001.h001 bn:00001469n
d0005806.s001.h001 bn:00001469n
d0005807.s001.h001 bn:00026658n
d0005808.s001.h001 bn:00005379n
d0005809.s001.h001 bn:00070159n
d0005810.s001.h001 bn:00070159n
d0005811.s001.h001 bn:00021745n
d0005812.s001.h001 bn:00021745n
d0005813.s001.h001 bn:00059081n
d0005814.s001.h001 bn:00023218n
d0005815.s001.h001 bn:00072943n
d0005816.s001.h001 bn:00081607n
d0005817.s001.h001 bn:00036082n
d0005818.s001.h001 bn:00022528n
d0005819.s001.h001 bn:00023295n
d0005820.s001.h001 bn:00023575n
d0005821.s001.h001 bn:00023575n
d0005822.s001.h001 bn:00023575n
d0005823.s001.h001 bn:00064437n
d0005824.s001.h001 bn:00064437n
d0005825.s001.h001 bn:00064435n
d0005826.s001.h001 bn:00034557n
d0005827.s001.h001 bn:00057546n
d0005828.s001.h001 bn:00000739n
d0005829.s001.h001 bn:00000739n
d0005830.s001.h001 bn:00000739n
d0005831.s001.h001 bn:00032155n
d0005832.s001.h001 bn:00023362n
d0005833.s001.h001 bn:00064609n
d0005834.s001.h001 bn:00040569n
d0005835.s001.h001 bn:00040569n
d0005836.s001.h001 bn:00042040n
d0005837.s001.h001 bn:00005161n
d0005838.s001.h001 bn:00023152n
d0005839.s001.h001 bn:00058395n
d0005840.s001.h001 bn:00023667n
d0005841.s001.h001 bn:00023667n
d0005842.s001.h001 bn:00023667n
d0005843.s001.h001 bn:00069021n
d0005844.s001.h001 bn:00061661n
d0005845.s001.h001 bn:00021959n
d0005846.s001.h001 bn:00041671n
d0005847.s001.h001 bn:00050463n
d0005848.s001.h001 bn:00050959n
d0005849.s001.h001 bn:00049706n
d0005850.s001.h001 bn:00060873n
d0005851.s001.h001 bn:00000701n
d0005852.s001.h001 bn:00000701n
d0005853.s001.h001 bn:00000701n
d0005854.s001.h001 bn:00042768n
d0005855.s001.h001 bn:00068382n
d0005856.s001.h001 bn:00044716n
d0005857.s001.h001 bn:00069041n
d0005858.s001.h001 bn:00021834n
d0005859.s001.h001 bn:00064021n
d0005860.s001.h001 bn:00066282n
d0005861.s001.h001 bn:00075275n
d0005862.s001.h001 bn:00017751n
d0005863.s001.h001 bn:00000704n
d0005864.s001.h001 bn:00002763n
d0005865.s001.h001 bn:00000554n
d0005866.s001.h001 bn:00028007n
d0005867.s001.h001 bn:00044659n
d0005868.s001.h001 bn:00050805n
d0005869.s001.h001 bn:00021624n
d0005870.s001.h001 bn:00026169n
d0005871.s001.h001 bn:00023867n
d0005872.s001.h001 bn:00006996n
d0005873.s001.h001 bn:00006996n
d0005874.s001.h001 bn:00006996n
d0005875.s001.h001 bn:00077104n
d0005876.s001.h001 bn:00063891n
d0005877.s001.h001 bn:00023174n
d0005878.s001.h001 bn:00066467n
d0005879.s001.h001 bn:00064061n
d0005880.s001.h001 bn:00072074n
d0005881.s001.h001 bn:00074044n
d0005882.s001.h001 bn:00009993n
d0005883.s001.h001 bn:00067209n
d0005884.s001.h001 bn:00011096n
d0005885.s001.h001 bn:00011096n
d0005886.s001.h001 bn:00050487n
d0005887.s001.h001 bn:00050487n
d0005888.s001.h001 bn:00067356n
d0005889.s001.h001 bn:00001228n
d0005890.s001.h001 bn:00000521n
d0005891.s001.h001 bn:00000521n
d0005892.s001.h001 bn:00020565n
d0005893.s001.h001 bn:00006401n
d0005894.s001.h001 bn:00006401n
d0005895.s001.h001 bn:00056762n
d0005896.s001.h001 bn:00072300n
d0005897.s001.h001 bn:00024605n
d0005898.s001.h001 bn:00007756n
d0005899.s001.h001 bn:00046886n
d0005900.s001.h001 bn:00046886n
d0005901.s001.h001 bn:00074033n
d0005902.s001.h001 bn:00074035n
d0005903.s001.h001 bn:00074035n
d0005904.s001.h001 bn:00076923n
d0005905.s001.h001 bn:00076923n
d0005906.s001.h001 bn:00078460n
d0005907.s001.h001 bn:00078460n
d0005908.s001.h001 bn:00041146n
d0005909.s001.h001 bn:00060547n
d0005910.s001.h001 bn:00004352n
d0005911.s001.h001 bn:00004352n
d0005912.s001.h001 bn:00008959n
d0005913.s001.h001 bn:00019403n
d0005914.s001.h001 bn:00026915n
d0005915.s001.h001 bn:00064283n
d0005916.s001.h001 bn:00064283n
d0005917.s001.h001 bn:00019404n
d0005918.s001.h001 bn:00019404n
d0005919.s001.h001 bn:00000785n
d0005920.s001.h001 bn:00076678n
d0005921.s001.h001 bn:00064606n
d0005922.s001.h001 bn:00077033n
d0005923.s001.h001 bn:00054312n
d0005924.s001.h001 bn:00025733n
d0005925.s001.h001 bn:00081547n
d0005926.s001.h001 bn:00000741n
d0005927.s001.h001 bn:00000741n
d0005928.s001.h001 bn:00000755n
d0005929.s001.h001 bn:00067195n
d0005930.s001.h001 bn:00066443n
d0005931.s001.h001 bn:00016851n
d0005932.s001.h001 bn:00016851n
d0005933.s001.h001 bn:00025875n
d0005934.s001.h001 bn:00002715n
d0005935.s001.h001 bn:00002715n
d0005936.s001.h001 bn:00002715n
d0005937.s001.h001 bn:00032370n
d0005938.s001.h001 bn:00055855n
d0005939.s001.h001 bn:00004452n
d0005940.s001.h001 bn:00004452n
d0005941.s001.h001 bn:00004452n
d0005942.s001.h001 bn:00022169n
d0005943.s001.h001 bn:00066711n
d0005944.s001.h001 bn:00066711n
d0005945.s001.h001 bn:00004451n
d0005946.s001.h001 bn:00004451n
d0005947.s001.h001 bn:00004353n
d0005948.s001.h001 bn:00004353n
d0005949.s001.h001 bn:00001599n
d0005950.s001.h001 bn:00058164n
d0005951.s001.h001 bn:00058164n
d0005952.s001.h001 bn:00058164n
d0005953.s001.h001 bn:00016882n
d0005954.s001.h001 bn:00064647n
d0005955.s001.h001 bn:00062942n
d0005956.s001.h001 bn:00076590n
d0005957.s001.h001 bn:00016729n
d0005958.s001.h001 bn:00075692n
d0005959.s001.h001 bn:00006558n
d0005960.s001.h001 bn:00064921n
d0005961.s001.h001 bn:00069548n
d0005962.s001.h001 bn:00034203n
d0005963.s001.h001 bn:00034203n
d0005964.s001.h001 bn:00011603n
d0005965.s001.h001 bn:00023897n
d0005966.s001.h001 bn:00023897n
d0005967.s001.h001 bn:00011249n
d0005968.s001.h001 bn:00011249n
d0005969.s001.h001 bn:00043509n
d0005970.s001.h001 bn:00034556n
d0005971.s001.h001 bn:00065536n
d0005972.s001.h001 bn:00020978n
d0005973.s001.h001 bn:00004350n
d0005974.s001.h001 bn:00004350n
d0005975.s001.h001 bn:00000939n
d0005976.s001.h001 bn:00000939n
d0005977.s001.h001 bn:00000939n
d0005978.s001.h001 bn:00056690n
d0005979.s001.h001 bn:00020977n
d0005980.s001.h001 bn:00033810n
d0005981.s001.h001 bn:00054390n
d0005982.s001.h001 bn:00054390n
d0005983.s001.h001 bn:00054390n
d0005984.s001.h001 bn:00067488n
d0005985.s001.h001 bn:00056761n
d0005986.s001.h001 bn:00008494n
d0005987.s001.h001 bn:00008494n
d0005988.s001.h001 bn:00008494n
d0005989.s001.h001 bn:00067610n
d0005990.s001.h001 bn:00031488n
d0005991.s001.h001 bn:00002086n
d0005992.s001.h001 bn:00002086n
d0005993.s001.h001 bn:00021649n
d0005994.s001.h001 bn:00021649n
d0005995.s001.h001 bn:00008568n
d0005996.s001.h001 bn:00008568n
d0005997.s001.h001 bn:00060095n
d0005998.s001.h001 bn:00010748n
d0005999.s001.h001 bn:00010748n
d0006000.s001.h001 bn:00016859n
d0006001.s001.h001 bn:00016859n
d0006002.s001.h001 bn:00016859n
d0006003.s001.h001 bn:00037008n
d0006004.s001.h001 bn:00037008n
d0006005.s001.h001 bn:00037008n
d0006006.s001.h001 bn:00037008n
d0006007.s001.h001 bn:00037008n
d0006008.s001.h001 bn:00036879n
d0006009.s001.h001 bn:00036879n
d0006010.s001.h001 bn:00036814n
d0006011.s001.h001 bn:00036814n
d0006012.s001.h001 bn:00060725n
d0006013.s001.h001 bn:00060725n
d0006014.s001.h001 bn:00059169n
d0006015.s001.h001 bn:00063709n
d0006016.s001.h001 bn:00005166n
d0006017.s001.h001 bn:00031661n
d0006018.s001.h001 bn:00043267n
d0006019.s001.h001 bn:00043267n
d0006020.s001.h001 bn:00064526n
d0006021.s001.h001 bn:00056667n
d0006022.s001.h001 bn:00056667n
d0006023.s001.h001 bn:00016408n
d0006024.s001.h001 bn:00027356n
d0006025.s001.h001 bn:00064193n
d0006026.s001.h001 bn:00068523n
d0006027.s001.h001 bn:00071525n
d0006028.s001.h001 bn:00073991n
d0006029.s001.h001 bn:00073991n
d0006030.s001.h001 bn:00071524n
d0006031.s001.h001 bn:00010395n
d0006032.s001.h001 bn:00012762n
d0006033.s001.h001 bn:00026126n
d0006034.s001.h001 bn:00047732n
d0006035.s001.h001 bn:00078801n
d0006036.s001.h001 bn:00010649n
d0006037.s001.h001 bn:00078776n
d0006038.s001.h001 bn:00046473n
d0006039.s001.h001 bn:00046473n
d0006040.s001.h001 bn:00046473n
d0006041.s001.h001 bn:00046474n
d0006042.s001.h001 bn:00053215n
d0006043.s001.h001 bn:00053446n
d0006044.s001.h001 bn:00053446n
d0006045.s001.h001 bn:00074728n
d0006046.s001.h001 bn:00051289n
d0006047.s001.h001 bn:00028337n
d0006048.s001.h001 bn:00041262n
d0006049.s001.h001 bn:00040667n
d0006050.s001.h001 bn:00072320n
d0006051.s001.h001 bn:00013965n
d0006052.s001.h001 bn:00081042n
d0006053.s001.h001 bn:00044085n
d0006054.s001.h001 bn:00058121n
d0006055.s001.h001 bn:00058287n
d0006056.s001.h001 bn:00071530n
d0006057.s001.h001 bn:00056470n
d0006059.s001.h001 bn:00053449n
d0006060.s001.h001 bn:00017986n
d0006061.s001.h001 bn:00017752n
d0006062.s001.h001 bn:00028116n
d0006063.s001.h001 bn:00028116n
d0006064.s001.h001 bn:00043266n
d0006065.s001.h001 bn:00015499n
d0006065.s001.h002 bn:00015499n
d0006066.s001.h001 bn:00078800n
d0006067.s001.h001 bn:00066216n
d0006068.s001.h001 bn:00003057n
d0006069.s001.h001 bn:00046779n
d0006069.s001.t002 bn:00033900n
d0006070.s001.h001 bn:00032569n
d0006070.s001.h002 bn:00032569n
d0006070.s001.h003 bn:00032569n
d0006070.s001.h004 bn:00032569n
d0006071.s001.h001 bn:00032569n
d0006072.s001.h001 bn:00011110n
d0006073.s001.h001 bn:00063450n
d0006074.s001.h001 bn:00068569n
d0006075.s001.h001 bn:00045830n
d0006076.s001.h001 bn:00051873n
d0006077.s001.h001 bn:00036777n
d0006077.s001.h002 bn:00036777n
d0006078.s001.h001 bn:00028143n
d0006079.s001.h001 bn:00049558n
d0006080.s001.h001 bn:00046170n
d0006081.s001.h001 bn:00046179n
d0006082.s001.h001 bn:00070015n
d0006083.s001.h001 bn:00033628n
d0006084.s001.h001 bn:00033628n
d0006085.s001.h001 bn:00072151n
d0006085.s001.h002 bn:00072151n
d0006086.s001.h001 bn:00076946n
d0006087.s001.h001 bn:00073040n
d0006088.s001.h001 bn:00008465n
d0006089.s001.h001 bn:00056463n
d0006090.s001.h001 bn:00051118n
d0006091.s001.h001 bn:00051118n
d0006092.s001.h001 bn:00032607n
d0006093.s001.h001 bn:00050199n
d0006094.s001.h001 bn:00026144n
d0006095.s001.h001 bn:00026144n
d0006096.s001.h001 bn:00027670n
d0006097.s001.h001 bn:00027670n
d0006098.s001.h001 bn:00027670n
d0006099.s001.h001 bn:00032525n
d0006100.s001.h001 bn:00010324n
d0006101.s001.h001 bn:00032391n
d0006102.s001.h001 bn:00032391n
d0006103.s001.h001 bn:00029367n
d0006104.s001.h001 bn:00007896n
d0006105.s001.h001 bn:00053269n
d0006106.s001.h001 bn:00024069n
d0006107.s001.h001 bn:00013182n
d0006108.s001.h001 bn:00063720n
d0006109.s001.h001 bn:00057194n
d0006110.s001.h001 bn:00032638n
d0006111.s001.h001 bn:00034590n
d0006112.s001.h001 bn:00041661n
d0006113.s001.h001 bn:00045675n
d0006114.s001.h001 bn:00027674n
d0006115.s001.h001 bn:00005870n
d0006116.s001.h001 bn:00005870n
d0006117.s001.h001 bn:00071508n
d0006118.s001.h001 bn:00071508n
d0006119.s001.h001 bn:00073226n
d0006120.s001.h001 bn:00067946n
d0006121.s001.h001 bn:00035366n
d0006122.s001.h001 bn:00035126n
d0006123.s001.h001 bn:00064214n
d0006124.s001.h001 bn:00079227n
d0006125.s001.h001 bn:00061560n
d0006126.s001.h001 bn:00061560n
d0006127.s001.h001 bn:00061560n
d0006128.s001.h001 bn:00001079n
d0006129.s001.h001 bn:00001079n
d0006130.s001.h001 bn:00001079n
d0006131.s001.h001 bn:00062201n
d0006132.s001.h001 bn:00067106n
d0006133.s001.h001 bn:00073229n
d0006134.s001.h001 bn:00058449n
d0006135.s001.h001 bn:00074994n
d0006136.s001.h001 bn:00047109n
d0006136.s001.h002 bn:00047109n
d0006138.s001.h001 bn:00026186n
d0006139.s001.h001 bn:00005929n
d0006140.s001.h001 bn:00062273n
d0006142.s001.h001 bn:00064627n
d0006143.s001.h001 bn:00064627n
d0006144.s001.h001 bn:00028638n
d0006145.s001.h001 bn:00073817n
d0006146.s001.h001 bn:00064591n
d0006147.s001.h001 bn:00028604n
d0006148.s001.h001 bn:00036167n
d0006149.s001.h001 bn:00010733n
d0006150.s001.h001 bn:00076796n
d0006151.s001.h001 bn:00069553n
d0006152.s001.h001 bn:00001180n
d0006153.s001.h001 bn:00064706n
d0006154.s001.h001 bn:00051292n
d0006155.s001.h001 bn:00051292n
d0006156.s001.h001 bn:00051303n
d0006157.s001.h001 bn:00051303n
d0006158.s001.h001 bn:00051303n
d0006159.s001.h001 bn:00001080n
d0006160.s001.h001 bn:00024159n
d0006161.s001.h001 bn:00032347n
d0006162.s001.h001 bn:00032347n
d0006163.s001.h001 bn:00035046n
d0006164.s001.h001 bn:00035046n
d0006165.s001.h001 bn:00073187n
d0006166.s001.h001 bn:00062928n
d0006167.s001.h001 bn:00064169n
d0006168.s001.h001 bn:00002191n
d0006169.s001.h001 bn:00045803n
d0006170.s001.h001 bn:00045803n
d0006171.s001.h001 bn:00074034n
d0006172.s001.h001 bn:00060770n
d0006173.s001.h001 bn:00024014n
d0006174.s001.h001 bn:00053667n
d0006175.s001.h001 bn:00053666n
d0006176.s001.h001 bn:00071028n
d0006177.s001.h001 bn:00021408n
d0006178.s001.h001 bn:00056157n
d0006179.s001.h001 bn:00001237n
d0006180.s001.h001 bn:00072794n
d0006181.s001.h001 bn:00074795n
d0006182.s001.h001 bn:00049912n
d0006183.s001.h001 bn:00049912n
d0006184.s001.h001 bn:00049912n
d0006185.s001.h001 bn:00068381n
d0006186.s001.h001 bn:00053355n
d0006187.s001.h001 bn:00072888n
d0006188.s001.h001 bn:00068049n
d0006188.s001.h002 bn:00068049n
d0006189.s001.h001 bn:00032400n
d0006190.s001.h001 bn:00001305n
d0006191.s001.h001 bn:00021530n
d0006192.s001.h001 bn:00030433n
d0006193.s001.h001 bn:00030433n
d0006194.s001.h001 bn:00030433n
d0006195.s001.h001 bn:00035114n
d0006196.s001.h001 bn:00032394n
d0006197.s001.h001 bn:00032394n
d0006198.s001.h001 bn:00041357n
d0006199.s001.h001 bn:00041357n
d0006200.s001.h001 bn:00044664n
d0006201.s001.h001 bn:00026066n
d0006202.s001.h001 bn:00026066n
d0006203.s001.h001 bn:00026066n
d0006204.s001.h001 bn:00020160n
d0006205.s001.h001 bn:00020160n
d0006206.s001.h001 bn:00006150n
d0006207.s001.h001 bn:00006150n
d0006208.s001.h001 bn:00018663n
d0006209.s001.h001 bn:00077565n
d0006210.s001.h001 bn:00077565n
d0006211.s001.h001 bn:00077553n
d0006212.s001.h001 bn:00077553n
d0006213.s001.h001 bn:00058146n
d0006214.s001.h001 bn:00068353n
d0006215.s001.h001 bn:00079019n
d0006216.s001.h001 bn:00008678n
d0006217.s001.h001 bn:00008678n
d0006218.s001.h001 bn:00000641n
d0006219.s001.h001 bn:00067684n
d0006220.s001.h001 bn:00009396n
d0006221.s001.h001 bn:00009396n
d0006222.s001.h001 bn:00052364n
d0006223.s001.h001 bn:00078663n
d0006224.s001.h001 bn:00021529n
d0006225.s001.h001 bn:00023850n
d0006226.s001.h001 bn:00079682n
d0006228.s001.h001 bn:00076215n
d0006229.s001.h001 bn:00076214n
d0006230.s001.h001 bn:00004929n
d0006231.s001.h001 bn:00035912n
d0006232.s001.h001 bn:00035912n
d0006234.s001.h001 bn:00028404n
d0006238.s001.h001 bn:00051568n
d0006239.s001.h002 bn:00082036n
d0006239.s001.t001 bn:00055346n
d0006240.s001.h001 bn:00049911n
d0006241.s001.h001 bn:00049911n
d0006242.s001.h001 bn:00049911n
d0006243.s001.h001 bn:00081564n
d0006244.s001.h001 bn:00073247n
d0006245.s001.h001 bn:00062019n
d0006246.s001.h001 bn:00062019n
d0006247.s001.h001 bn:00058556n
d0006248.s001.h001 bn:00031111n
d0006249.s001.h001 bn:00037615n
d0006250.s001.h001 bn:00014793n
d0006251.s001.h001 bn:00024158n
d0006252.s001.h001 bn:00024158n
d0006253.s001.h001 bn:00009787n
d0006254.s001.h001 bn:00011535n
d0006255.s001.h001 bn:00019424n
d0006256.s001.h001 bn:00042678n
d0006257.s001.h001 bn:00057864n
d0006258.s001.h001 bn:00057864n
d0006259.s001.h001 bn:00069841n
d0006260.s001.h001 bn:00009207n
d0006261.s001.h001 bn:00009207n
d0006262.s001.h001 bn:00024525n
d0006263.s001.h001 bn:00032149n
d0006264.s001.h001 bn:00032149n
d0006265.s001.h001 bn:00026676n
d0006266.s001.h001 bn:00026676n
d0006267.s001.h001 bn:00026676n
d0006268.s001.h001 bn:00045074n
d0006269.s001.h001 bn:00045074n
d0006270.s001.h001 bn:00045074n
d0006271.s001.h001 bn:00060169n
d0006272.s001.h001 bn:00059584n
d0006273.s001.h001 bn:00059584n
d0006274.s001.h001 bn:00064723n
d0006275.s001.h001 bn:00073246n
d0006276.s001.h001 bn:00000638n
d0006277.s001.h001 bn:00000638n
d0006278.s001.h001 bn:00076909n
d0006279.s001.h001 bn:00077572n
d0006280.s001.h001 bn:00078288n
d0006281.s001.h001 bn:00032126n
d0006282.s001.h001 bn:00075965n
d0006283.s001.h001 bn:00043390n
d0006284.s001.h001 bn:00045851n
d0006285.s001.h001 bn:00045851n
d0006286.s001.h001 bn:00058158n
d0006287.s001.h001 bn:00044640n
d0006288.s001.h001 bn:00026624n
d0006289.s001.h001 bn:00027523n
d0006290.s001.h001 bn:00027523n
d0006291.s001.h001 bn:00021990n
d0006292.s001.h001 bn:00075966n
d0006293.s001.h001 bn:00032392n
d0006294.s001.h001 bn:00032392n
d0006295.s001.h001 bn:00032392n
d0006296.s001.h001 bn:00020561n
d0006297.s001.h001 bn:00021833n
d0006298.s001.h001 bn:00027544n
d0006299.s001.h001 bn:00027544n
d0006300.s001.h001 bn:00005601n
d0006301.s001.h001 bn:00026037n
d0006302.s001.h001 bn:00022091n
d0006303.s001.h001 bn:00022091n
d0006304.s001.h001 bn:00007099n
d0006305.s001.h001 bn:00007099n
d0006306.s001.h001 bn:00065087n
d0006307.s001.h001 bn:00007792n
d0006308.s001.h001 bn:00068385n
d0006309.s001.h001 bn:00070689n
d0006310.s001.h001 bn:00008809n
d0006311.s001.h001 bn:00043374n
d0006312.s001.h001 bn:00026838n
d0006313.s001.h001 bn:00026838n
d0006314.s001.h001 bn:00026838n
d0006315.s001.h001 bn:00066552n
d0006316.s001.h001 bn:00071389n
d0006317.s001.h001 bn:00032393n
d0006318.s001.h001 bn:00053275n
d0006319.s001.h001 bn:00009086n
d0006320.s001.h001 bn:00009086n
d0006321.s001.h001 bn:00075169n
d0006322.s001.h001 bn:00000640n
d0006323.s001.h001 bn:00000640n
d0006324.s001.h001 bn:00000640n
d0006325.s001.h001 bn:00005597n
d0006326.s001.h001 bn:00067682n
d0006327.s001.h001 bn:00072052n
d0006328.s001.h001 bn:00017891n
d0006329.s001.h001 bn:00017891n
d0006330.s001.h001 bn:00024526n
d0006331.s001.h001 bn:00024526n
d0006332.s001.h001 bn:00064777n
d0006333.s001.h001 bn:00065674n
d0006334.s001.h001 bn:00064624n
d0006335.s001.h001 bn:00047291n
d0006336.s001.h001 bn:00066335n
d0006337.s001.h001 bn:00056032n
d0006338.s001.h001 bn:00056032n
d0006339.s001.h001 bn:00012968n
d0006340.s001.h001 bn:00040371n
d0006341.s001.h001 bn:00040371n
d0006342.s001.h001 bn:00001550n
d0006343.s001.h001 bn:00058679n
d0006344.s001.h001 bn:00064818n
d0006345.s001.h001 bn:00064149n
d0006345.s001.h002 bn:00064149n
d0006346.s001.h001 bn:00067852n
d0006347.s001.h001 bn:00073185n
d0006348.s001.h001 bn:00064308n
d0006349.s001.h001 bn:00031063n
d0006350.s001.h001 bn:00031063n
d0006353.s001.h001 bn:00059303n
d0006354.s001.h001 bn:00081548n
d0006355.s001.h001 bn:00017796n
d0006356.s001.h001 bn:00027363n
d0006357.s001.h001 bn:00047198n
d0006358.s001.h001 bn:00019452n
d0006359.s001.h001 bn:00045910n
d0006360.s001.h001 bn:00076733n
d0006361.s001.h001 bn:00030472n
d0006362.s001.h001 bn:00050804n
d0006363.s001.h001 bn:00050804n
d0006364.s001.h001 bn:00079827n
d0006365.s001.h001 bn:00066373n
d0006366.s001.h001 bn:00066373n
d0006367.s001.h001 bn:00022073n
d0006368.s001.h001 bn:00055303n
d0006369.s001.h001 bn:00055303n
d0006370.s001.h001 bn:00000994n
d0006371.s001.h001 bn:00000994n
d0006372.s001.h001 bn:00014352n
d0006373.s001.h001 bn:00000727n
d0006374.s001.h001 bn:00014583n
d0006375.s001.h001 bn:00000675n
d0006376.s001.h001 bn:00000675n
d0006377.s001.h001 bn:00000707n
d0006378.s001.h001 bn:00021589n
d0006379.s001.h001 bn:00021589n
d0006380.s001.h001 bn:00075099n
d0006381.s001.h001 bn:00021446n
d0006382.s001.h001 bn:00021758n
d0006383.s001.h001 bn:00021758n
d0006384.s001.h001 bn:00030789n
d0006385.s001.h001 bn:00021769n
d0006386.s001.h001 bn:00021769n
d0006387.s001.h001 bn:00021769n
d0006388.s001.h001 bn:00034710n
d0006389.s001.h001 bn:00020672n
d0006390.s001.h001 bn:00005599n
d0006391.s001.h001 bn:00029212n
d0006392.s001.h001 bn:00029212n
d0006393.s001.h001 bn:00034378n
d0006394.s001.h001 bn:00058678n
d0006395.s001.h001 bn:00058166n
d0006396.s001.h001 bn:00046503n
d0006397.s001.h001 bn:00046503n
d0006398.s001.h001 bn:00047375n
d0006399.s001.h001 bn:00047375n
d0006400.s001.h001 bn:00010268n
d0006401.s001.h001 bn:00047377n
d0006402.s001.h001 bn:00005017n
d0006403.s001.h001 bn:00005017n
d0006404.s001.h001 bn:00005017n
d0006405.s001.h001 bn:00072714n
d0006406.s001.h001 bn:00077728n
d0006407.s001.h001 bn:00046147n
d0006408.s001.h001 bn:00023328n
d0006409.s001.h001 bn:00011226n
d0006410.s001.h001 bn:00014798n
d0006411.s001.h001 bn:00014798n
d0006412.s001.h001 bn:00066476n
d0006413.s001.h001 bn:00010438n
d0006414.s001.h001 bn:00026103n
d0006415.s001.h001 bn:00065295n
d0006416.s001.h001 bn:00014797n
d0006417.s001.h001 bn:00017559n
d0006418.s001.h001 bn:00030951n
d0006419.s001.h001 bn:00030951n
d0006420.s001.h001 bn:00047238n
d0006421.s001.h001 bn:00047208n
d0006422.s001.h001 bn:00047208n
d0006423.s001.h001 bn:00032089n
d0006424.s001.h001 bn:00008481n
d0006425.s001.h001 bn:00008481n
d0006426.s001.h001 bn:00021273n
d0006427.s001.h001 bn:00051566n
d0006428.s001.h001 bn:00067180n
d0006429.s001.h001 bn:00020897n
d0006430.s001.h001 bn:00025874n
d0006431.s001.h001 bn:00025874n
d0006432.s001.h001 bn:00017759n
d0006433.s001.h001 bn:00017758n
d0006434.s001.h001 bn:00017758n
d0006435.s001.h001 bn:00017758n
d0006436.s001.h001 bn:00049557n
